pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14
35,Ontario,Ontario,31-01-2020,3,0,0,3,,,,,3,300.00,0.02,0.00,0,0.00,,,100.00,3,0.02,,,,
59,British Columbia,Colombie-Britannique,31-01-2020,1,0,0,1,,,,,1,100.00,0.02,0.00,0,0.00,,,100.00,1,0.02,,,,
1,Canada,Canada,31-01-2020,4,0,0,4,,,,,4,400.00,0.01,0.00,0,0.00,,,100.00,4,0.01,,,,
35,Ontario,Ontario,08-02-2020,3,0,0,3,,,,,0,0.00,0.02,0.00,0,0.00,,,100.00,3,0.02,,,,
59,British Columbia,Colombie-Britannique,08-02-2020,4,0,0,4,,,,,3,300.00,0.08,0.00,0,0.00,,,100.00,4,0.08,,,,
1,Canada,Canada,08-02-2020,7,0,0,7,,,,,3,75.00,0.02,0.00,0,0.00,,,100.00,7,0.02,,,,
35,Ontario,Ontario,16-02-2020,3,0,0,3,,,,,0,0.00,0.02,0.00,0,0.00,,,100.00,3,0.02,,,,
59,British Columbia,Colombie-Britannique,16-02-2020,5,0,0,5,,,,,1,25.00,0.10,0.00,0,0.00,,,100.00,5,0.10,,,,
1,Canada,Canada,16-02-2020,8,0,0,8,,,,,1,14.29,0.02,0.00,0,0.00,,,100.00,8,0.02,,,,
35,Ontario,Ontario,21-02-2020,3,0,0,3,,,,,0,0.00,0.02,0.00,0,0.00,,,100.00,3,0.02,,,,
59,British Columbia,Colombie-Britannique,21-02-2020,6,0,0,6,,,,,1,20.00,0.12,0.00,0,0.00,,,100.00,6,0.12,,,,
1,Canada,Canada,21-02-2020,9,0,0,9,,,,,1,12.50,0.02,0.00,0,0.00,,,100.00,9,0.02,,,,
35,Ontario,Ontario,24-02-2020,4,0,0,4,,,,,1,33.33,0.03,0.00,0,0.00,,,100.00,4,0.03,,,,
59,British Columbia,Colombie-Britannique,24-02-2020,6,0,0,6,,,,,0,0.00,0.12,0.00,0,0.00,,,100.00,6,0.12,,,,
1,Canada,Canada,24-02-2020,10,0,0,10,,,,,1,11.11,0.03,0.00,0,0.00,,,100.00,10,0.03,,,,
35,Ontario,Ontario,25-02-2020,4,0,0,4,,,,,0,0.00,0.03,0.00,0,0.00,,,100.00,4,0.03,,,,
59,British Columbia,Colombie-Britannique,25-02-2020,7,0,0,7,,,,,1,16.67,0.14,0.00,0,0.00,,,100.00,7,0.14,,,,
1,Canada,Canada,25-02-2020,11,0,0,11,,,,,1,10.00,0.03,0.00,0,0.00,,,100.00,11,0.03,,,,
35,Ontario,Ontario,26-02-2020,5,0,0,5,,,,,1,25.00,0.03,0.00,0,0.00,,,100.00,5,0.03,,,,
59,British Columbia,Colombie-Britannique,26-02-2020,7,0,0,7,,,,,0,0.00,0.14,0.00,0,0.00,,,100.00,7,0.14,,,,
1,Canada,Canada,26-02-2020,12,0,0,12,,,,,1,9.09,0.03,0.00,0,0.00,,,100.00,12,0.03,,,,
35,Ontario,Ontario,27-02-2020,6,0,0,6,,,,,1,20.00,0.04,0.00,0,0.00,,,100.00,6,0.04,,,,
59,British Columbia,Colombie-Britannique,27-02-2020,7,0,0,7,,,,,0,0.00,0.14,0.00,0,0.00,,,100.00,7,0.14,,,,
1,Canada,Canada,27-02-2020,13,0,0,13,,,,,1,8.33,0.03,0.00,0,0.00,,,100.00,13,0.03,,,,
35,Ontario,Ontario,29-02-2020,8,0,0,8,,,,,2,33.33,0.05,0.00,0,0.00,,,100.00,8,0.05,,,,
59,British Columbia,Colombie-Britannique,29-02-2020,7,0,0,7,,,,,0,0.00,0.14,0.00,0,0.00,,,100.00,7,0.14,,,,
1,Canada,Canada,29-02-2020,15,0,0,15,,,,,2,15.38,0.04,0.00,0,0.00,,,100.00,15,0.04,,,,
35,Ontario,Ontario,01-03-2020,15,0,0,15,,,,,7,87.50,0.10,0.00,0,0.00,,,100.00,15,0.10,,,,
59,British Columbia,Colombie-Britannique,01-03-2020,8,0,0,8,,,,,1,14.29,0.16,0.00,0,0.00,,,100.00,8,0.16,,,,
24,Quebec,Québec,01-03-2020,1,0,0,1,,,,,1,100.00,0.01,0.00,0,0.00,,,100.00,1,0.01,,,,
1,Canada,Canada,01-03-2020,24,0,0,24,,,,,9,60.00,0.06,0.00,0,0.00,,,100.00,24,0.06,,,,
35,Ontario,Ontario,03-03-2020,20,0,0,20,,,,,5,33.33,0.14,0.00,0,0.00,,,100.00,20,0.14,,,,
59,British Columbia,Colombie-Britannique,03-03-2020,12,0,0,12,,,,,4,50.00,0.24,0.00,0,0.00,,,100.00,12,0.24,,,,
24,Quebec,Québec,03-03-2020,1,0,0,1,,,,,0,0.00,0.01,0.00,0,0.00,,,100.00,1,0.01,,,,
1,Canada,Canada,03-03-2020,33,0,0,33,,,,,9,37.50,0.09,0.00,0,0.00,,,100.00,33,0.09,,,,
35,Ontario,Ontario,05-03-2020,22,0,0,22,,,,,2,10.00,0.15,0.00,0,0.00,,,100.00,22,0.15,,,,
59,British Columbia,Colombie-Britannique,05-03-2020,21,0,0,21,,,,,9,75.00,0.41,0.00,0,0.00,,,100.00,21,0.41,,,,
24,Quebec,Québec,05-03-2020,2,0,0,2,,,,,1,100.00,0.02,0.00,0,0.00,,,100.00,2,0.02,,,,
1,Canada,Canada,05-03-2020,45,0,0,45,,,,,12,36.36,0.12,0.00,0,0.00,,,100.00,45,0.12,,,,
35,Ontario,Ontario,06-03-2020,28,0,0,28,,,,,6,27.27,0.19,0.00,0,0.00,,,100.00,28,0.19,,,,
59,British Columbia,Colombie-Britannique,06-03-2020,21,0,0,21,,,,,0,0.00,0.41,0.00,0,0.00,,,100.00,21,0.41,,,,
24,Quebec,Québec,06-03-2020,2,0,0,2,,,,,0,0.00,0.02,0.00,0,0.00,,,100.00,2,0.02,,,,
1,Canada,Canada,06-03-2020,51,0,0,51,,,,,6,13.33,0.14,0.00,0,0.00,,,100.00,51,0.14,,,,
35,Ontario,Ontario,07-03-2020,28,0,0,28,,,,,0,0.00,0.19,0.00,0,0.00,,,100.00,28,0.19,,,,
59,British Columbia,Colombie-Britannique,07-03-2020,27,0,0,27,,,,,6,28.57,0.53,0.00,0,0.00,,,100.00,27,0.53,,,,
24,Quebec,Québec,07-03-2020,2,0,0,2,,,,,0,0.00,0.02,0.00,0,0.00,,,100.00,2,0.02,,,,
1,Canada,Canada,07-03-2020,57,0,0,57,,,,,6,11.76,0.15,0.00,0,0.00,,,100.00,57,0.15,,,,
35,Ontario,Ontario,08-03-2020,31,0,0,31,,,,,3,10.71,0.21,0.00,0,0.00,,,100.00,31,0.21,,,,
59,British Columbia,Colombie-Britannique,08-03-2020,27,0,1,27,,,,,0,0.00,0.53,0.02,1,3.70,,,96.30,26,0.51,,,,
24,Quebec,Québec,08-03-2020,3,0,0,3,,,,,1,50.00,0.04,0.00,0,0.00,,,100.00,3,0.04,,,,
48,Alberta,Alberta,08-03-2020,1,0,0,1,,,,,1,100.00,0.02,0.00,0,0.00,,,100.00,1,0.02,,,,
1,Canada,Canada,08-03-2020,62,0,1,62,,,,,5,8.77,0.16,0.00,1,1.61,,,98.39,61,0.16,,,,
35,Ontario,Ontario,09-03-2020,34,0,0,34,,,,,3,9.68,0.23,0.00,0,0.00,,,100.00,34,0.23,,,,
59,British Columbia,Colombie-Britannique,09-03-2020,32,0,1,32,,,,,5,18.52,0.63,0.02,0,3.13,,,96.88,31,0.61,,,,
24,Quebec,Québec,09-03-2020,4,0,0,4,,,,,1,33.33,0.05,0.00,0,0.00,,,100.00,4,0.05,,,,
48,Alberta,Alberta,09-03-2020,7,0,0,7,,,,,6,600.00,0.16,0.00,0,0.00,,,100.00,7,0.16,,,,
1,Canada,Canada,09-03-2020,77,0,1,77,,,,,15,24.19,0.20,0.00,0,1.30,,,98.70,76,0.20,,,,
59,British Columbia,Colombie-Britannique,11-03-2020,39,0,1,39,4373,,,862,0,0.00,0.77,0.02,0,2.56,4373,,97.44,38,0.75,,,,
48,Alberta,Alberta,11-03-2020,14,0,0,14,1969,,,450,0,0.00,0.32,0.00,0,0.00,1969,,100.00,14,0.32,,,,
47,Saskatchewan,Saskatchewan,11-03-2020,0,0,0,0,204,,,174,0,0.00,0.00,0.00,0,,204,,,,0.00,,,,
46,Manitoba,Manitoba,11-03-2020,0,0,0,0,352,,,257,0,0.00,0.00,0.00,0,,352,,,,0.00,,,,
35,Ontario,Ontario,11-03-2020,42,0,1,42,3394,,,233,8,23.53,0.29,0.01,1,2.38,3394,,97.62,41,0.28,,,,
24,Quebec,Québec,11-03-2020,7,0,0,7,556,,,66,3,75.00,0.08,0.00,0,0.00,556,,100.00,7,0.08,,,,
13,New Brunswick,Nouveau-Brunswick,11-03-2020,0,0,0,0,22,,,28,0,0.00,0.00,0.00,0,,22,,,,0.00,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-03-2020,0,0,0,0,44,,,84,0,0.00,0.00,0.00,0,,44,,,,0.00,,,,
12,Nova Scotia,Nouvelle-Écosse,11-03-2020,0,0,0,0,103,,,106,0,0.00,0.00,0.00,0,,103,,,,0.00,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,11-03-2020,0,0,0,0,6,,,38,0,0.00,0.00,0.00,0,,6,,,,0.00,,,,
61,Northwest Territories,Territoires du Nord-Ouest,11-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
62,Nunavut,Nunavut,11-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
60,Yukon,Yukon,11-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
99,Repatriated travellers,Voyageurs rapatriés,11-03-2020,1,0,0,1,29,,,,1,100.00,,,0,0.00,29,,100.00,1,,,,,
1,Canada,Canada,11-03-2020,103,0,2,103,11023,,,293,26,33.77,0.27,0.01,0,1.94,11023,,98.06,101,0.27,,,,
59,British Columbia,Colombie-Britannique,12-03-2020,46,0,1,46,5195,,,1024,7,17.95,0.91,0.02,0,2.17,822,,97.83,45,0.89,,,,
48,Alberta,Alberta,12-03-2020,19,0,0,19,4109,,,940,5,35.71,0.43,0.00,0,0.00,2140,,100.00,19,0.43,,,,
47,Saskatchewan,Saskatchewan,12-03-2020,0,1,0,1,285,,,243,1,0.00,0.09,0.00,0,0.00,81,,100.00,1,0.09,,,,
46,Manitoba,Manitoba,12-03-2020,0,1,0,1,352,,,257,1,0.00,0.07,0.00,0,0.00,0,,100.00,1,0.07,,,,
35,Ontario,Ontario,12-03-2020,59,0,1,59,4185,,,287,17,40.48,0.41,0.01,0,1.69,791,,98.31,58,0.40,,,,
24,Quebec,Québec,12-03-2020,13,0,0,13,740,,,87,6,85.71,0.15,0.00,0,0.00,184,,100.00,13,0.15,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,0,0,0,0,52,,,100,0,0.00,0.00,0.00,0,,30,,,,0.00,,,,
13,New Brunswick,Nouveau-Brunswick,12-03-2020,0,1,0,1,44,,,57,1,0.00,0.13,0.00,0,0.00,0,,100.00,1,0.13,,,,
12,Nova Scotia,Nouvelle-Écosse,12-03-2020,0,0,0,0,182,,,187,0,0.00,0.00,0.00,0,,79,,,,0.00,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,12-03-2020,0,0,0,0,6,,,38,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
60,Yukon,Yukon,12-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
61,Northwest Territories,Territoires du Nord-Ouest,12-03-2020,0,0,0,0,34,,,758,0,0.00,0.00,0.00,0,,34,,,,0.00,,,,
62,Nunavut,Nunavut,12-03-2020,0,0,0,0,1,,,26,0,0.00,0.00,0.00,0,,1,,,,0.00,,,,
99,Repatriated travellers,Voyageurs rapatriés,12-03-2020,1,0,0,1,29,,,,0,0.00,,,0,0.00,0,,100.00,1,,,,,
1,Canada,Canada,12-03-2020,138,3,2,141,15185,,,404,38,36.89,0.38,0.01,0,1.42,4162,,98.58,139,0.37,,,,
59,British Columbia,Colombie-Britannique,13-03-2020,53,0,1,53,5195,,,1024,7,15.22,1.05,0.02,0,1.89,0,,98.11,52,1.03,,,,
48,Alberta,Alberta,13-03-2020,23,0,0,23,4109,,,940,4,21.05,0.53,0.00,0,0.00,0,,100.00,23,0.53,,,,
47,Saskatchewan,Saskatchewan,13-03-2020,0,1,0,1,285,,,243,0,0.00,0.09,0.00,0,0.00,0,,100.00,1,0.09,,,,
46,Manitoba,Manitoba,13-03-2020,1,2,0,3,352,,,257,2,200.00,0.22,0.00,0,0.00,0,,100.00,3,0.22,,,,
35,Ontario,Ontario,13-03-2020,79,0,1,79,4185,,,287,20,33.90,0.54,0.01,0,1.27,0,,98.73,78,0.54,,,,
24,Quebec,Québec,13-03-2020,17,0,0,17,740,,,87,4,30.77,0.20,0.00,0,0.00,0,,100.00,17,0.20,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-03-2020,0,0,0,0,52,,,100,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
13,New Brunswick,Nouveau-Brunswick,13-03-2020,1,0,0,1,44,,,57,0,0.00,0.13,0.00,0,0.00,0,,100.00,1,0.13,,,,
12,Nova Scotia,Nouvelle-Écosse,13-03-2020,0,0,0,0,182,,,187,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,13-03-2020,0,0,0,0,6,,,38,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
60,Yukon,Yukon,13-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
61,Northwest Territories,Territoires du Nord-Ouest,13-03-2020,0,0,0,0,34,,,758,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
62,Nunavut,Nunavut,13-03-2020,0,0,0,0,1,,,26,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
99,Repatriated travellers,Voyageurs rapatriés,13-03-2020,2,0,0,2,29,,,,1,100.00,,,0,0.00,0,,100.00,2,,,,,
1,Canada,Canada,13-03-2020,176,3,2,179,15185,,,404,38,26.95,0.48,0.01,0,1.12,0,,98.88,177,0.47,,,,
59,British Columbia,Colombie-Britannique,14-03-2020,64,0,1,64,7033,,,1387,11,20.75,1.26,0.02,0,1.56,1838,,98.44,63,1.24,,,,
48,Alberta,Alberta,14-03-2020,29,0,0,29,5247,,,1200,6,26.09,0.66,0.00,0,0.00,1138,,100.00,29,0.66,,,,
47,Saskatchewan,Saskatchewan,14-03-2020,0,2,0,2,349,,,297,1,100.00,0.17,0.00,0,0.00,64,,100.00,2,0.17,,,,
46,Manitoba,Manitoba,14-03-2020,1,3,0,4,837,,,611,1,33.33,0.29,0.00,0,0.00,485,,100.00,4,0.29,,,,
35,Ontario,Ontario,14-03-2020,79,0,1,79,6646,,,456,0,0.00,0.54,0.01,0,1.27,2461,,98.73,78,0.54,,,,
24,Quebec,Québec,14-03-2020,17,0,0,17,1584,,,187,0,0.00,0.20,0.00,0,0.00,844,,100.00,17,0.20,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-03-2020,0,0,0,0,62,,,119,0,0.00,0.00,0.00,0,,10,,,,0.00,,,,
13,New Brunswick,Nouveau-Brunswick,14-03-2020,1,1,0,2,82,,,106,1,100.00,0.26,0.00,0,0.00,38,,100.00,2,0.26,,,,
12,Nova Scotia,Nouvelle-Écosse,14-03-2020,0,0,0,0,481,,,495,0,0.00,0.00,0.00,0,,299,,,,0.00,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,14-03-2020,0,0,0,0,6,,,38,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
60,Yukon,Yukon,14-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
61,Northwest Territories,Territoires du Nord-Ouest,14-03-2020,0,0,0,0,76,,,1695,0,0.00,0.00,0.00,0,,42,,,,0.00,,,,
62,Nunavut,Nunavut,14-03-2020,0,0,0,0,6,,,155,0,0.00,0.00,0.00,0,,5,,,,0.00,,,,
99,Repatriated travellers,Voyageurs rapatriés,14-03-2020,2,0,0,2,29,,,,0,0.00,,,0,0.00,0,,100.00,2,,,,,
1,Canada,Canada,14-03-2020,193,6,2,199,22409,,,596,20,11.17,0.53,0.01,0,1.01,7224,,98.99,197,0.52,,,,
59,British Columbia,Colombie-Britannique,15-03-2020,73,0,1,73,7033,,,1387,9,14.06,1.44,0.02,0,1.37,0,,98.63,72,1.42,,,,
48,Alberta,Alberta,15-03-2020,39,0,0,39,5247,,,1200,10,34.48,0.89,0.00,0,0.00,0,,100.00,39,0.89,,,,
47,Saskatchewan,Saskatchewan,15-03-2020,0,2,0,2,349,,,297,0,0.00,0.17,0.00,0,0.00,0,,100.00,2,0.17,,,,
46,Manitoba,Manitoba,15-03-2020,4,0,0,4,837,,,611,0,0.00,0.29,0.00,0,0.00,0,,100.00,4,0.29,,,,
35,Ontario,Ontario,15-03-2020,103,0,1,103,8461,,,581,24,30.38,0.71,0.01,0,0.97,1815,,99.03,102,0.70,,,,
24,Quebec,Québec,15-03-2020,24,0,0,24,2337,,,275,7,41.18,0.28,0.00,0,0.00,753,,100.00,24,0.28,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,15-03-2020,0,1,0,1,62,,,119,1,0.00,0.19,0.00,0,0.00,0,,100.00,1,0.19,,,,
13,New Brunswick,Nouveau-Brunswick,15-03-2020,1,1,0,2,82,,,106,0,0.00,0.26,0.00,0,0.00,0,,100.00,2,0.26,,,,
12,Nova Scotia,Nouvelle-Écosse,15-03-2020,0,0,0,0,481,,,495,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,15-03-2020,1,0,0,1,6,,,38,1,0.00,0.64,0.00,0,0.00,0,,100.00,1,0.64,,,,
60,Yukon,Yukon,15-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
61,Northwest Territories,Territoires du Nord-Ouest,15-03-2020,0,0,0,0,76,,,1695,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
62,Nunavut,Nunavut,15-03-2020,0,0,0,0,6,,,155,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
99,Repatriated travellers,Voyageurs rapatriés,15-03-2020,4,0,0,4,29,,,,2,100.00,,,0,0.00,0,,100.00,4,,,,,
1,Canada,Canada,15-03-2020,249,4,2,253,24977,,,664,54,27.14,0.67,0.01,0,0.79,2568,,99.21,251,0.67,,,,
59,British Columbia,Colombie-Britannique,16-03-2020,73,0,4,73,9926,,,1957,0,0.00,1.44,0.08,3,5.48,2893,,94.52,69,1.36,,,,
48,Alberta,Alberta,16-03-2020,56,0,0,56,10238,,,2342,17,43.59,1.28,0.00,0,0.00,4991,,100.00,56,1.28,,,,
47,Saskatchewan,Saskatchewan,16-03-2020,1,5,0,6,881,,,750,4,200.00,0.51,0.00,0,0.00,532,,100.00,6,0.51,,,,
46,Manitoba,Manitoba,16-03-2020,4,3,0,7,1848,,,1349,3,75.00,0.51,0.00,0,0.00,1011,,100.00,7,0.51,,,,
35,Ontario,Ontario,16-03-2020,145,0,1,145,10178,,,699,42,40.78,1.00,0.01,0,0.69,1717,,99.31,144,0.99,,,,
24,Quebec,Québec,16-03-2020,39,0,0,39,3129,,,369,15,62.50,0.46,0.00,0,0.00,792,,100.00,39,0.46,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16-03-2020,0,1,0,1,161,,,309,0,0.00,0.19,0.00,0,0.00,99,,100.00,1,0.19,,,,
13,New Brunswick,Nouveau-Brunswick,16-03-2020,1,5,0,6,143,,,184,4,200.00,0.77,0.00,0,0.00,61,,100.00,6,0.77,,,,
12,Nova Scotia,Nouvelle-Écosse,16-03-2020,0,3,0,3,1075,,,1107,3,0.00,0.31,0.00,0,0.00,594,,100.00,3,0.31,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,16-03-2020,1,0,0,1,6,,,38,0,0.00,0.64,0.00,0,0.00,0,,100.00,1,0.64,,,,
60,Yukon,Yukon,16-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
61,Northwest Territories,Territoires du Nord-Ouest,16-03-2020,0,0,0,0,138,,,3079,0,0.00,0.00,0.00,0,,62,,,,0.00,,,,
62,Nunavut,Nunavut,16-03-2020,0,0,0,0,7,,,181,0,0.00,0.00,0.00,0,,1,,,,0.00,,,,
99,Repatriated travellers,Voyageurs rapatriés,16-03-2020,4,0,0,4,29,,,,0,0.00,,,0,0.00,0,,100.00,4,,,,,
1,Canada,Canada,16-03-2020,324,17,5,341,37730,,,1004,88,34.78,0.91,0.01,3,1.47,12753,,98.53,336,0.89,,,,
59,British Columbia,Colombie-Britannique,17-03-2020,103,0,7,103,11612,,,2290,30,41.10,2.03,0.14,3,6.80,1686,,93.20,96,1.89,,,,
48,Alberta,Alberta,17-03-2020,74,0,0,74,11487,,,2628,18,32.14,1.69,0.00,0,0.00,1249,,100.00,74,1.69,,,,
47,Saskatchewan,Saskatchewan,17-03-2020,2,5,0,7,1066,,,908,1,16.67,0.60,0.00,0,0.00,185,,100.00,7,0.60,,,,
46,Manitoba,Manitoba,17-03-2020,7,0,0,7,2216,,,1618,0,0.00,0.51,0.00,0,0.00,368,,100.00,7,0.51,,,,
35,Ontario,Ontario,17-03-2020,177,0,1,177,11167,,,767,32,22.07,1.22,0.01,0,0.56,989,,99.44,176,1.21,,,,
24,Quebec,Québec,17-03-2020,50,0,0,50,4870,,,574,11,28.21,0.59,0.00,0,0.00,1741,,100.00,50,0.59,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,17-03-2020,0,1,0,1,161,,,309,0,0.00,0.19,0.00,0,0.00,0,,100.00,1,0.19,,,,
13,New Brunswick,Nouveau-Brunswick,17-03-2020,2,5,0,7,295,,,380,1,16.67,0.90,0.00,0,0.00,152,,100.00,7,0.90,,,,
12,Nova Scotia,Nouvelle-Écosse,17-03-2020,0,5,0,5,1075,,,1107,2,66.67,0.51,0.00,0,0.00,0,,100.00,5,0.51,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,17-03-2020,1,0,0,1,75,,,478,0,0.00,0.64,0.00,0,0.00,69,,100.00,1,0.64,,,,
60,Yukon,Yukon,17-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
61,Northwest Territories,Territoires du Nord-Ouest,17-03-2020,0,0,0,0,145,,,3235,0,0.00,0.00,0.00,0,,7,,,,0.00,,,,
62,Nunavut,Nunavut,17-03-2020,0,0,0,0,7,,,181,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
99,Repatriated travellers,Voyageurs rapatriés,17-03-2020,8,0,0,8,29,,,,4,100.00,,,0,0.00,0,,100.00,8,,,,,
1,Canada,Canada,17-03-2020,424,16,8,440,44176,,,1175,99,29.03,1.17,0.02,3,1.82,6446,,98.18,432,1.15,,,,
59,British Columbia,Colombie-Britannique,18-03-2020,186,0,7,186,13388,,,2640,83,80.58,3.67,0.14,0,3.76,1776,,96.24,179,3.53,,,,
48,Alberta,Alberta,18-03-2020,97,0,0,97,13686,,,3131,23,31.08,2.22,0.00,0,0.00,2199,,100.00,97,2.22,,,,
47,Saskatchewan,Saskatchewan,18-03-2020,2,6,0,8,1910,,,1626,1,14.29,0.68,0.00,0,0.00,844,,100.00,8,0.68,,,,
46,Manitoba,Manitoba,18-03-2020,8,7,0,15,2739,,,2000,8,114.29,1.10,0.00,0,0.00,523,,100.00,15,1.10,,,,
35,Ontario,Ontario,18-03-2020,189,0,1,189,13869,,,952,12,6.78,1.30,0.01,0,0.53,2702,,99.47,188,1.29,,,,
24,Quebec,Québec,18-03-2020,74,0,1,74,5880,,,693,24,48.00,0.87,0.01,1,1.35,1010,,98.65,73,0.86,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,18-03-2020,0,3,0,3,161,,,309,2,200.00,0.58,0.00,0,0.00,0,,100.00,3,0.58,,,,
13,New Brunswick,Nouveau-Brunswick,18-03-2020,2,6,0,8,408,,,525,1,14.29,1.03,0.00,0,0.00,113,,100.00,8,1.03,,,,
12,Nova Scotia,Nouvelle-Écosse,18-03-2020,1,6,0,7,1278,,,1316,2,40.00,0.72,0.00,0,0.00,203,,100.00,7,0.72,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,18-03-2020,1,0,0,1,75,,,478,0,0.00,0.64,0.00,0,0.00,0,,100.00,1,0.64,,,,
60,Yukon,Yukon,18-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
61,Northwest Territories,Territoires du Nord-Ouest,18-03-2020,0,0,0,0,145,,,3235,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
62,Nunavut,Nunavut,18-03-2020,0,0,0,0,7,,,181,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
99,Repatriated travellers,Voyageurs rapatriés,18-03-2020,9,0,0,9,29,,,,1,12.50,,,0,0.00,0,,100.00,9,,,,,
1,Canada,Canada,18-03-2020,569,28,9,597,53546,,,1425,157,35.68,1.59,0.02,1,1.51,9370,,98.49,588,1.56,,,,
59,British Columbia,Colombie-Britannique,19-03-2020,271,0,8,271,16382,,,3230,85,45.70,5.34,0.16,1,2.95,2994,,97.05,263,5.19,,,,
48,Alberta,Alberta,19-03-2020,146,0,1,146,16507,,,3776,49,50.52,3.34,0.02,1,0.68,2821,,99.32,145,3.32,,,,
47,Saskatchewan,Saskatchewan,19-03-2020,8,12,0,20,1910,,,1626,12,150.00,1.70,0.00,0,0.00,0,,100.00,20,1.70,,,,
46,Manitoba,Manitoba,19-03-2020,17,0,0,17,3189,,,2329,2,13.33,1.24,0.00,0,0.00,450,,100.00,17,1.24,,,,
35,Ontario,Ontario,19-03-2020,258,0,2,258,18488,,,1269,69,36.51,1.77,0.01,1,0.78,4619,,99.22,256,1.76,,,,
24,Quebec,Québec,19-03-2020,121,0,1,121,6757,,,796,47,63.51,1.43,0.01,0,0.83,877,,99.17,120,1.41,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,19-03-2020,1,2,0,3,267,,,512,0,0.00,0.58,0.00,0,0.00,106,,100.00,3,0.58,,,,
13,New Brunswick,Nouveau-Brunswick,19-03-2020,7,4,0,11,527,,,678,3,37.50,1.42,0.00,0,0.00,119,,100.00,11,1.42,,,,
12,Nova Scotia,Nouvelle-Écosse,19-03-2020,5,9,0,14,1520,,,1565,7,100.00,1.44,0.00,0,0.00,242,,100.00,14,1.44,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,19-03-2020,2,0,0,2,75,,,478,1,100.00,1.27,0.00,0,0.00,0,,100.00,2,1.27,,,,
60,Yukon,Yukon,19-03-2020,0,0,0,0,0,,,,0,0.00,0.00,0.00,0,,0,,,,0.00,,,,
61,Northwest Territories,Territoires du Nord-Ouest,19-03-2020,0,0,0,0,221,,,4930,0,0.00,0.00,0.00,0,,76,,,,0.00,,,,
62,Nunavut,Nunavut,19-03-2020,0,0,0,0,8,,,206,0,0.00,0.00,0.00,0,,1,,,,0.00,,,,
99,Repatriated travellers,Voyageurs rapatriés,19-03-2020,10,0,0,10,29,,,,1,11.11,,,0,0.00,0,,100.00,10,,,,,
1,Canada,Canada,19-03-2020,846,27,12,873,65851,,,1752,276,46.23,2.32,0.03,3,1.37,12305,,98.63,861,2.29,,,,
